Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,region
BE,Bioenergy,958,San Marino,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Europe
BE,Bioenergy,959,Sao Tome and Principe,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,960,Senegal,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,961,Serbia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Europe
BE,Bioenergy,962,Seychelles,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,963,Sierra Leone,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,966,South Sudan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,967,Sri Lanka,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,968,Sudan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South Asia
BE,Bioenergy,969,Suriname,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,970,Syria,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,971,Tajikistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,972,Tanzania,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central Asia
BE,Bioenergy,973,Timor-Leste,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,974,Togo,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Southeast Asia
BE,Bioenergy,975,Tonga,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,976,Trinidad and Tobago,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,977,Tunisia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central Asia
BE,Bioenergy,978,Turkmenistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Oceania
BE,Bioenergy,979,Tuvalu,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,980,Uganda,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Europe
BE,Bioenergy,981,Ukraine,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,982,United Arab Emirates,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central Asia
BE,Bioenergy,983,Uzbekistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Oceania
BE,Bioenergy,984,Vanuatu,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Europe
BE,Bioenergy,985,Vatican City,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,986,Venezuela,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Southeast Asia
BE,Bioenergy,987,Vietnam,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,988,Yemen,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,989,Zambia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,990,Zimbabwe,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,991,Mexico,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Noth America
BE,Bioenergy,992,China,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,993,India,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,994,Japan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,995,South Korea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,996,North Korea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,997,Thailand,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,998,Malaysia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,999,Indonesia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1000,Philippines,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1001,Vietnam,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1002,Nepal,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1003,Bhutan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1004,Maldives,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1005,Sri Lanka,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1006,Bangladesh,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1007,Pakistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1008,Afghanistan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
BE,Bioenergy,1009,Kazakhstan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Asia
